Player,Team,Nation,Pos,Age,MP,Min,Gls,Ast,PK,CrdY,CrdR,Gls_Y
Bukayo Saka,Arsenal,eng ENG,FW,19.0,38,2978.0,11.0,7.0,2.0,6.0,0.0,1
Gabriel Dos Santos,Arsenal,br BRA,DF,23.0,35,3063.0,5.0,0.0,0.0,8.0,1.0,1
Aaron Ramsdale,Arsenal,eng ENG,GK,23.0,34,3060.0,0.0,0.0,0.0,1.0,0.0,0
Ben White,Arsenal,eng ENG,DF,23.0,32,2880.0,0.0,0.0,0.0,3.0,0.0,0
Martin Ødegaard,Arsenal,no NOR,MF,22.0,36,2785.0,7.0,4.0,0.0,4.0,0.0,1
Granit Xhaka,Arsenal,ch SUI,MF,28.0,27,2327.0,1.0,2.0,0.0,10.0,1.0,1
Thomas Partey,Arsenal,gh GHA,MF,28.0,24,2028.0,2.0,1.0,0.0,6.0,0.0,1
Kieran Tierney,Arsenal,sct SCO,DF,24.0,22,1915.0,1.0,3.0,0.0,0.0,0.0,1
Emile Smith Rowe,Arsenal,eng ENG,MF,21.0,33,1921.0,10.0,2.0,0.0,1.0,0.0,1
Martinelli,Arsenal,br BRA,FW,20.0,29,1860.0,6.0,6.0,1.0,3.0,1.0,1
Alexandre Lacazette,Arsenal,fr FRA,FW,30.0,30,1782.0,4.0,7.0,2.0,0.0,0.0,1
Takehiro Tomiyasu,Arsenal,jp JPN,DF,22.0,21,1679.0,0.0,1.0,0.0,2.0,0.0,0
Cédric Soares,Arsenal,pt POR,DF,29.0,21,1486.0,1.0,1.0,0.0,3.0,0.0,1
Nuno Tavares,Arsenal,pt POR,DF,21.0,22,1176.0,1.0,1.0,0.0,2.0,0.0,1
Albert Sambi Lokonga,Arsenal,be BEL,MF,21.0,19,1134.0,0.0,0.0,0.0,5.0,0.0,0
Pierre-Emerick Aubameyang,Arsenal,ga GAB,FW,32.0,14,1037.0,4.0,1.0,0.0,3.0,0.0,1
Rob Holding,Arsenal,eng ENG,DF,25.0,15,845.0,1.0,0.0,0.0,4.0,1.0,1
