Elevation,Aspect,Slope,Hillshade_Morning,Hillshade_Afternoon,Hillshade_Evening,Distance_To_River,Distance_From_Road,Distance_From_Pollutant,Sector,Soil,Plant_species
3251,35,10,219,218,134,30,3263,2837,Sector_2,Soil_36,1
3511,12,11,209,217,145,531,1385,1871,Sector_1,Soil_37,1
2335,63,20,233,194,83,234,1120,726,Sector_3,Soil_8,0
3244,48,14,224,209,116,67,1645,907,Sector_2,Soil_36,1
2242,292,34,108,211,233,95,808,684,Sector_3,Soil_8,3
3258,90,4,226,233,143,42,3654,3783,Sector_0,Soil_35,1
2224,358,20,184,198,148,242,990,1273,Sector_3,Soil_8,3
3277,95,15,242,217,100,60,3375,2947,Sector_2,Soil_36,1
2357,152,27,241,229,98,342,467,745,Sector_3,Soil_2,3
3024,131,9,235,235,132,108,3089,417,Sector_0,Soil_26,4
2422,246,28,152,248,224,60,1380,680,Sector_3,Soil_8,0
2538,29,6,218,226,144,0,782,247,Sector_0,Soil_13,4
3432,354,9,205,224,157,1022,1369,1731,Sector_2,Soil_35,1
2400,94,20,247,205,78,192,648,638,Sector_3,Soil_0,3
3413,106,8,235,230,127,708,2053,1691,Sector_0,Soil_32,1
3394,300,15,177,233,196,127,5055,3842,Sector_2,Soil_35,1
2885,102,23,251,203,68,660,2486,1880,Sector_2,Soil_8,3
2587,220,7,212,247,172,201,1218,1095,Sector_2,Soil_3,3
2870,242,22,170,251,213,108,5190,495,Sector_0,Soil_26,4
3452,142,18,243,233,111,153,4147,4183,Sector_2,Soil_30,1
2398,334,19,175,212,175,424,1018,1172,Sector_3,Soil_8,0
2384,319,19,168,219,190,150,819,696,Sector_3,Soil_8,0
3674,21,16,208,205,130,1150,5099,3516,Sector_2,Soil_37,1
3169,96,18,246,212,89,124,1917,1939,Sector_2,Soil_28,2
3063,329,18,176,217,179,210,1170,2247,Sector_2,Soil_29,4
2314,323,26,146,203,192,30,1082,992,Sector_3,Soil_8,0
3399,338,36,121,166,170,297,960,1505,Sector_1,Soil_36,1
3037,53,12,227,214,119,457,3670,4834,Sector_0,Soil_26,4
2156,185,13,222,249,157,330,467,616,Sector_3,Soil_1,3
3258,83,4,225,233,143,67,3661,3810,Sector_0,Soil_35,1
3250,118,16,245,225,104,0,2207,726,Sector_2,Soil_19,1
3126,107,13,242,223,108,247,3049,3209,Sector_0,Soil_27,2
2400,160,7,228,242,147,0,930,1170,Sector_2,Soil_3,0
2238,306,21,159,223,203,30,870,361,Sector_3,Soil_8,3
2932,15,11,210,216,142,42,3763,6402,Sector_0,Soil_17,4
2073,355,29,161,176,144,67,424,691,Sector_3,Soil_8,3
2541,62,15,231,209,106,212,1073,815,Sector_3,Soil_5,3
2282,254,14,186,248,200,192,703,690,Sector_3,Soil_5,3
3038,351,5,212,232,158,0,3596,390,Sector_0,Soil_20,2
2008,93,42,244,140,0,150,162,466,Sector_3,Soil_0,3
2065,124,17,247,225,100,120,671,828,Sector_3,Soil_1,3
2431,17,27,187,172,111,67,1006,1172,Sector_2,Soil_8,0
3453,69,10,231,221,122,720,3503,1383,Sector_2,Soil_34,1
3185,104,12,240,225,114,0,2874,2499,Sector_0,Soil_26,1
2893,33,10,218,219,136,67,4794,1471,Sector_0,Soil_27,4
3335,315,6,204,235,170,85,4980,3455,Sector_2,Soil_35,1
3204,35,21,213,190,105,212,4087,2030,Sector_2,Soil_36,2
2387,153,15,237,240,130,255,309,787,Sector_2,Soil_2,3
2529,26,20,207,193,116,134,955,1019,Sector_3,Soil_8,3
3837,0,15,197,211,150,977,4535,2601,Sector_2,Soil_37,1
2242,335,23,163,203,175,67,1489,360,Sector_3,Soil_8,0
3205,77,3,224,233,145,339,1595,1465,Sector_2,Soil_28,2
