feature00,feature01,feature02,feature03,feature04,feature05,feature06,feature07,feature08,feature09,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,label
0.0344444,0.675,0.125,0.471831,0.037795,0.60601,0.103719,0.116935,0.591769,164.505,163.852,176.172,27.3609,24.8489,19.3779,-0.0537137,-0.0765162,-0.0471703,84.045,1.41898,-3.52823,5.14571,0.581872,2.25302,-0.304333,0.591069,-0.548804,14.323,0.510417,41.9117,19.0939,0.142619,10.7769,0.137417,-3.2757,0.816395,157.09,0.28125,66.0813,41.4758,0.917395,37.4893,9.70127,88.4617,51.2936,0.418762,0.108996,0.0302427,127.127,0.507133,16.863,21.2992,0.234618,0.203286,1
0.511788,0.908333,0.938889,0.497099,0.523966,0.796687,0.753478,0.0180354,0.39989,95.4772,76.6452,61.6627,58.5109,50.5536,45.4788,0.455254,0.445207,0.918446,58.6428,4.5466,9.98574,17.92,7.47815,11.479,-0.126894,0.0785638,-0.0588126,86.3298,1.0,3.92547,49.7445,0.975308,9.526,0.160822,16.1744,0.732368,155.959,0.163889,249.166,33.8778,-0.13038,51.6801,13.4532,89.2881,3.85383,0.491379,0.309884,0.023332,104.992,1.2983,35.8197,10.0399,0.550098,0.508312,0
0.0369907,0.1875,0.244444,0.0871959,0.631222,0.182883,0.213541,0.0550688,0.192929,117.249,113.577,106.381,54.4218,55.4725,55.0261,0.118771,0.235593,0.498929,69.8879,0.234975,3.26274,15.961,5.83717,5.37789,-0.58502,5.5017,0.583003,77.3366,1.0,0.298148,8.1338,0.295048,14.3735,0.571266,-3.08616,0.511566,184.816,0.336111,93.7364,32.7091,-0.528356,32.8115,4.24362,121.8,1.52741,0.725362,0.262356,0.0133977,97.5426,0.983545,61.9603,22.3188,0.00826389,0.355757,2
0.513426,1.0,0.83125,0.437059,0.65926,0.740733,0.8088,0.0139991,0.382345,180.03,159.862,146.579,80.9263,86.9109,91.4798,-0.792615,-0.254211,-0.0419782,79.3868,3.48824,7.12981,22.192,4.73068,9.08385,-0.905153,0.982128,0.568285,57.7195,1.0,-1.1372,26.2437,0.439803,13.4633,0.3383,0.112422,-0.176746,104.92,0.197917,141.812,12.3382,0.0976889,27.7658,11.7915,223.213,18.0041,0.186861,0.289043,0.0444562,54.2987,-3.25711,31.847,14.276,0.0382407,0.269582,0
0.0425637,0.39375,0.152778,0.364017,0.939443,0.336967,0.136705,0.0547927,0.292448,74.8465,58.0008,38.6276,12.1469,9.8664,7.18269,0.0984177,0.409662,0.90092,55.4661,2.46972,14.5001,3.97806,1.32826,1.86704,0.0773106,0.193995,-0.129029,91.049,0.58125,0.643639,23.0482,0.28569,8.88286,0.386586,1.22749,0.653071,122.636,0.536111,119.944,39.9339,0.292481,35.6385,18.3174,125.408,34.5304,0.747113,0.347403,0.0142244,114.301,-0.22855,32.3348,8.59465,0.25673,0.0345439,1
0.130039,0.61875,0.428125,0.521304,0.142675,0.474748,0.357562,0.0359467,0.509106,164.884,183.887,190.98,11.9241,6.45959,5.56768,-0.072969,-0.539695,0.204266,87.3348,-2.81048,-3.05276,1.36772,0.968851,1.84137,-0.633758,0.163096,0.316307,56.3501,1.0,-1.41381,9.63677,0.331787,3.91027,0.495808,-5.70955,1.99937,100.734,0.247222,124.913,20.5078,-0.827663,22.3179,21.1963,94.8817,65.4936,0.134691,0.192361,0.0399823,74.0969,0.5765,22.094,5.78981,0.0341956,0.577325,1
0.0051331,0.0527778,0.11875,0.6616,0.448447,0.0498541,0.103377,0.146561,0.180979,139.406,136.701,127.463,30.1652,30.0291,32.4409,-2.20168,-2.00397,-1.28204,77.4147,-0.544347,3.45073,9.09185,0.776608,3.23071,-2.79262,-1.05074,1.36325,42.495,0.133333,0.335524,22.3212,0.208538,19.8106,0.272106,-0.363817,-1.88224,197.251,0.341667,83.227,34.331,-0.0680424,50.1076,16.5454,123.514,68.5979,0.445004,0.321966,0.0377319,237.435,-0.886976,31.139,15.138,0.0882002,0.383853,2
0.0499479,0.25,0.279167,0.429411,0.561174,0.191505,0.265969,0.0411308,0.284328,97.2882,116.763,93.4847,39.7836,39.9963,40.5571,0.747012,-0.266801,0.765111,70.1643,-8.36855,7.50006,12.9146,7.13098,6.77618,-1.73086,-0.501062,0.405759,36.8459,0.54375,-3.75343,19.9031,0.151644,14.587,0.210523,0.845906,1.04388,148.667,0.144444,174.206,12.016,0.385036,18.7736,11.3508,78.6632,40.7255,0.527809,0.424359,0.0271187,208.086,0.274047,33.7591,9.39004,0.0153993,1.05935,2
0.150365,0.329167,0.715625,0.494682,0.606681,0.288729,0.544548,0.0281867,0.361671,103.617,86.2295,84.7849,49.4584,43.4323,40.1916,1.47933,1.93068,2.25219,64.2908,4.89948,2.07805,11.1818,3.09524,5.01047,1.50412,0.460226,1.93081,34.2224,0.263889,-7.72717,46.5662,0.258614,19.2877,0.0895557,18.067,2.49198,106.164,0.64375,109.426,24.4292,-0.753024,46.8723,2.80678,48.195,15.4239,0.213715,0.416868,0.0170006,167.269,0.0048222,26.9979,13.1572,0.00627315,0.306234,0
0.162766,0.602778,0.379167,0.506404,0.584319,0.483449,0.333177,0.020266,0.287841,106.934,60.6387,52.2147,29.9631,20.3192,18.7408,-0.609253,0.732972,1.56346,58.4535,13.836,10.6014,8.29093,3.42995,4.4525,-0.611749,-0.512793,-0.316992,86.7019,0.458333,0.0854935,24.4193,0.394345,3.02746,0.165511,1.09234,-1.74072,207.232,0.19375,36.07,64.1479,1.2252,41.5907,5.81359,120.588,28.2187,0.602432,0.125266,0.0599468,71.1086,0.552349,16.2057,7.22148,0.737402,1.04747,0
0.341574,0.663889,0.885417,0.677288,0.542964,0.447145,0.814745,0.0186704,0.418912,112.191,107.3,113.29,63.9697,58.7266,61.0418,0.573733,0.65763,0.294318,68.4894,2.32807,-1.14431,15.6366,5.97397,12.2265,0.187559,-0.856592,-0.485454,49.6838,0.0604167,-1.14527,31.7682,0.352815,4.1003,0.117718,-2.62833,1.74135,192.441,0.15625,64.7354,86.3744,0.275436,55.7181,1.89289,82.3918,45.2137,0.834045,0.294641,0.126126,139.371,1.45805,15.593,21.7109,0.0698893,0.204578,0
0.0110301,0.0666667,0.241667,0.633637,0.852899,0.0504635,0.221069,0.0991605,0.315374,54.042,36.7655,46.7922,23.7146,26.8695,25.8517,-0.302896,0.715719,0.938051,45.0614,12.9956,-4.02996,11.3285,16.7477,4.71671,0.553341,0.917736,0.241831,75.1119,0.0854167,-1.89659,68.7061,0.0939551,13.9078,0.226148,2.15174,1.5205,144.536,0.222917,96.873,43.8696,-0.338721,27.3347,13.0637,109.862,24.9923,0.721901,0.117514,0.0177198,126.091,0.515552,12.6196,1.53105,0.193912,0.185254,0
0.0521094,1.0,0.134375,0.387343,0.0537997,1.03056,0.11735,0.0985757,0.612209,119.72,128.251,132.736,8.7647,8.03433,9.0822,0.683412,0.722797,0.277303,75.8494,-1.43534,-2.15049,1.9519,0.827869,1.09022,0.535911,-0.224026,3.69553,82.5973,0.247222,4.10249,11.4184,0.100676,14.5227,0.287222,2.42814,-0.602846,140.577,0.161111,121.951,17.5651,1.73122,4.52676,2.99702,60.938,31.1409,0.680445,0.432507,0.0249974,119.6,-0.109202,37.6382,14.3339,0.0430324,0.155467,1
0.0253067,0.277778,0.133333,0.116768,0.171722,0.22617,0.119647,0.0567116,0.316719,137.136,101.566,78.0775,43.385,33.8866,24.3557,-0.0804133,0.346765,0.57887,69.9245,6.06921,12.7554,9.528,3.55827,7.31651,-0.173711,1.04418,-1.61423,59.45,1.0,0.645048,15.8167,0.464305,2.35694,0.15276,1.08503,-4.53015,96.3261,0.753125,180.694,44.3451,0.0491737,34.0437,17.357,126.595,10.0029,0.972419,0.362893,0.0518694,101.891,-0.687644,73.4769,4.17192,0.175017,1.00395,2
